Longevity,Churn,HappinessIndex,ChangeHappinessIndex,SupportCases,ChangeSupportCases,SupportPriority,ChangeSupportPriority,ChangeNumberLogins,ChangeNumberBlogs,ChangeNumberViews,DaysLastLogin,HasSP,HasChangeSP,HasNullHI,PreviousHappinessIndex,IsRatedHI,HasSC,HasChangeSC,HasChangeNBlogs,HasChangeNViews,LongevityFlip,Longevity6,Longevity12,Longevity18,Longevity24,CustomerActivity1,CustomerActivity2,IsActive,MonthlyHappinessIndex
13,1,0,0,0,0,0,0,0,0,-1,31,0,0,1,0,0,0,0,0,1,54,1,1,13,13,0.29730953375,-0.109505487433,1,0.0
14,0,172,-3,1,-2,3,0,39,0,-229,0,1,0,0,175,1,1,1,0,1,53,2,2,14,14,0.0793448887071,0.103899759918,1,12.2857142857
14,0,167,-7,1,1,3,3,39,-7,-436,0,1,1,0,174,1,1,1,1,1,53,2,2,14,14,-0.312558720405,-0.288003849194,1,11.9285714286
14,1,26,-1,0,0,0,0,4,0,-10,-3,0,0,0,27,1,0,0,0,1,53,2,2,14,14,-0.152777351663,-0.0864770069944,1,1.85714285714
12,0,178,-33,5,-1,3,0,1,-2,-114,-1,1,0,0,211,1,1,1,1,1,55,0,0,12,12,-0.258283527696,-0.219813498666,1,14.8333333333
12,0,113,-2,0,-1,0,-3,3,1,-11,-1,0,1,0,115,1,0,1,1,1,55,0,0,12,12,-0.0773208087503,-0.0388507797203,1,9.41666666667
13,0,151,-1,0,0,0,0,4,-1,-2,-14,0,0,0,152,1,0,0,1,1,54,1,1,13,13,-0.358850739333,-0.139483658653,1,11.6153846154
12,1,0,0,0,0,0,0,0,0,0,31,0,0,1,0,0,0,0,0,0,55,0,0,12,12,0.297388838113,-0.10942618307,1,0.0
14,0,131,-9,0,0,0,0,-9,1,40,-1,0,0,0,140,1,0,0,1,1,53,2,2,14,14,-0.144502945352,-0.106032916322,1,9.35714285714
14,0,134,-1,0,0,0,0,3,0,-19,0,0,0,0,135,1,0,0,0,1,53,2,2,14,14,-0.1176811724,-0.0931263011892,1,9.57142857143
12,1,70,35,0,0,0,0,0,0,-26,30,0,0,0,35,1,0,0,0,1,55,0,0,12,12,0.281411766853,-0.111488096511,1,5.83333333333
13,1,147,1,2,2,3,3,24,0,-214,-1,1,1,0,146,1,1,1,0,1,54,1,1,13,13,-0.0224140275658,0.0160560014642,1,11.3076923077
13,0,39,-41,2,2,3,3,66,-1,-10,-109,1,1,0,80,1,1,1,1,1,54,1,1,13,13,-1.3134207616,0.227886311897,1,3.0
14,0,140,0,0,0,0,0,-50,0,-104,0,0,0,0,140,1,0,0,0,1,53,2,2,14,14,-0.43900645438,-0.414451583169,1,10.0
12,0,0,0,0,0,0,0,0,0,-8,31,0,0,1,0,0,0,0,0,1,55,0,0,12,12,0.296754403209,-0.110060617975,1,0.0
12,1,77,-5,2,1,3,0,-1,-5,1,5,1,0,0,82,1,1,1,1,1,55,0,0,12,12,-0.338466948568,-0.383487866453,1,6.41666666667
18,1,155,-13,0,0,0,0,-76,-3,63,0,0,0,0,168,1,0,0,1,1,49,0,6,0,18,-0.741010313525,-0.716455442315,0,8.61111111111
12,0,180,12,3,-5,3,0,-34,-2,57,0,1,0,0,168,1,1,1,1,1,55,0,0,12,12,-0.438551746219,-0.413996875008,1,15.0
13,1,78,2,0,0,0,0,16,2,1,-11,0,0,0,76,1,0,0,1,1,54,1,1,13,13,-0.0847174339736,0.092904173248,1,6.0
14,0,85,-17,4,-5,3,0,83,0,3,0,1,0,0,102,1,1,1,0,1,53,2,2,14,14,0.358907917724,0.383462788935,1,6.07142857143
14,1,14,-101,0,0,0,0,-4,-1,-16,9,0,0,0,115,1,0,0,1,1,53,2,2,14,14,-0.0873968099888,-0.188078359151,1,1.0
12,1,0,-8,0,-1,0,-3,-3,0,8,-7,0,1,1,8,1,0,1,0,1,55,0,0,12,12,-0.24855938889,-0.126598412945,1,0.0
13,0,40,12,0,0,0,0,20,0,-1,17,0,0,0,28,1,0,0,0,1,54,1,1,13,13,0.221208422816,0.00920561110073,1,3.07692307692
13,0,69,6,0,0,0,0,2,0,16,31,0,0,0,63,1,0,0,0,1,54,1,1,13,13,0.310528817777,-0.0962862034069,1,5.30769230769
12,1,0,0,0,0,0,0,0,0,0,31,0,0,1,0,0,0,0,0,0,55,0,0,12,12,0.297388838113,-0.10942618307,1,0.0
12,1,0,-16,0,0,0,0,-4,0,12,-2,0,0,1,16,1,0,0,0,1,55,0,0,12,12,-0.184601937269,-0.13221675042,1,0.0
14,0,105,-57,0,0,0,0,-41,-4,37,-1,0,0,0,162,1,0,0,1,1,53,2,2,14,14,-0.602884048915,-0.564414019885,0,7.5
12,0,122,-2,0,0,0,0,-16,-1,18,-4,0,0,0,124,1,0,0,1,1,55,0,0,12,12,-0.336824172413,-0.256608669925,1,10.1666666667
12,1,105,-36,0,-1,0,-3,1,-1,66,-6,0,1,0,141,1,0,1,1,1,55,0,0,12,12,-0.259943444868,-0.151897626742,1,8.75
12,1,0,-64,0,0,0,0,-7,-3,-19,19,0,0,1,64,1,0,0,1,1,55,0,0,12,12,-0.0735719827944,-0.313405110148,1,0.0
9,0,87,-21,0,-1,0,-3,15,2,48,-12,0,1,0,108,1,0,1,1,1,58,3,9,9,9,-0.100840841653,0.0906959233877,1,9.66666666667
13,1,54,19,0,0,0,0,0,-1,426,31,0,0,0,35,1,0,0,1,1,54,1,1,13,13,0.277531410236,-0.129283610947,1,4.15384615385
13,0,73,-10,0,0,0,0,-3,0,156,-9,0,0,0,83,1,0,0,0,1,54,1,1,13,13,-0.264652658788,-0.114861367204,1,5.61538461538
12,1,58,41,0,0,0,0,31,5,8,9,0,0,0,17,1,0,0,1,1,55,0,0,12,12,0.444097436544,0.343415887382,1,4.83333333333
14,0,78,-33,0,-2,0,-3,-17,-5,-703,10,0,1,0,111,1,0,1,1,1,53,2,2,14,14,-0.419690309932,-0.534287016913,0,5.57142857143
14,0,95,3,0,0,0,0,12,0,76,-2,0,0,0,92,1,0,0,0,1,53,2,2,14,14,-0.0845575792022,-0.032172392353,1,6.78571428571
13,0,139,-29,0,0,0,0,-4,1,244,-1,0,0,0,168,1,0,0,1,1,54,1,1,13,13,-0.098647080643,-0.0601770516131,1,10.6923076923
12,1,203,25,7,6,3,0,88,-2,-28322,3,1,0,0,178,1,1,1,1,1,55,0,0,12,12,-1.92324709253,-1.94043769477,0,16.9166666667
11,0,70,1,0,0,0,0,2,0,-43,5,0,0,0,69,1,0,0,0,1,56,5,11,11,11,-0.0559442429455,-0.100965160831,1,6.36363636364
12,1,0,0,0,0,0,0,0,0,0,31,0,0,1,0,0,0,0,0,0,55,0,0,12,12,0.297388838113,-0.10942618307,1,0.0
12,0,45,-67,0,0,0,0,-4,-1,1,-5,0,0,0,112,1,0,0,1,1,55,0,0,12,12,-0.280860845284,-0.186730184978,1,3.75
13,1,135,-39,0,0,0,0,-12,-1,39,0,0,0,0,174,1,0,0,1,1,54,1,1,13,13,-0.255755929804,-0.231201058593,1,10.3846153846
12,1,14,-42,0,0,0,0,3,0,4,-34,0,0,0,56,1,0,0,0,1,55,0,0,12,12,-0.5889725379,-0.0913023008375,1,1.16666666667
12,1,0,0,0,0,0,0,0,0,0,31,0,0,1,0,0,0,0,0,0,55,0,0,12,12,0.297388838113,-0.10942618307,1,0.0
10,0,200,-13,3,1,3,0,25,-2,2388,0,1,0,0,213,1,1,1,1,1,57,4,10,10,10,0.0965044648757,0.121059336086,1,20.0
12,1,43,-28,0,0,0,0,-2,0,2,-60,0,0,0,71,1,0,0,0,1,55,0,0,12,12,-0.980603024558,-0.121138684197,1,3.58333333333
10,1,30,-39,0,0,0,0,-2,-1,9,-36,0,0,0,69,1,0,0,1,1,57,4,10,10,10,-0.69972519292,-0.174224640219,1,3.0
13,1,61,-12,0,0,0,0,2,0,28,31,0,0,0,73,1,0,0,0,1,54,1,1,13,13,0.311480470134,-0.0953345510495,1,4.69230769231
13,0,189,-22,0,0,0,0,-73,-3,51,0,0,0,0,211,1,0,0,1,1,54,1,1,13,13,-0.724155301103,-0.699600429892,0,14.5384615385
12,0,158,-16,0,0,0,0,62,-5,13,0,0,0,0,174,1,0,0,1,1,55,0,0,12,12,-0.0331511249248,-0.00859625371401,1,13.1666666667
13,0,253,11,2,1,3,0,9,-5,-1113,0,1,0,0,242,1,1,1,1,1,54,1,1,13,13,-0.437032248906,-0.412477377696,1,19.4615384615
13,1,128,-18,0,0,0,0,2,-2,-31,6,0,0,0,146,1,0,0,1,1,54,1,1,13,13,-0.148359605897,-0.207295681601,1,9.84615384615
13,0,161,51,0,-1,0,-3,-15,1,2,-6,0,1,0,110,1,0,1,1,1,54,1,1,13,13,-0.252705629806,-0.14465981168,1,12.3846153846
12,1,8,-7,0,0,0,0,0,0,0,31,0,0,0,15,1,0,0,0,0,55,0,0,12,12,0.297388838113,-0.10942618307,1,0.666666666667
11,0,121,0,2,1,3,0,23,0,93,0,1,0,0,121,1,1,1,0,1,56,5,11,11,11,0.0099120148028,0.0344668860136,1,11.0
13,0,170,35,1,-1,3,0,30,-2,-519,0,1,0,0,135,1,1,1,1,1,54,1,1,13,13,-0.104355544064,-0.0798006728534,1,13.0769230769
5,0,0,-43,2,-1,3,0,-27,-1,8,5,1,0,1,43,1,1,1,1,1,62,5,5,5,5,-0.277671899865,-0.32269281775,1,0.0
13,0,122,-28,0,0,0,0,0,-3,60,0,0,0,0,150,1,0,0,1,1,54,1,1,13,13,-0.290146052186,-0.265591180975,1,9.38461538462
12,0,98,14,0,0,0,0,3,0,-5,0,0,0,0,84,1,0,0,0,1,55,0,0,12,12,-0.116570911316,-0.0920160401056,1,8.16666666667
13,0,252,13,8,2,3,0,36,-1,728,0,1,0,0,239,1,1,1,1,1,54,1,1,13,13,0.0837914128635,0.108346284074,1,19.3846153846
12,1,5,-31,0,0,0,0,-1,0,-38,4,0,0,0,36,1,0,0,0,1,55,0,0,12,12,-0.0872695437292,-0.118375303795,1,0.416666666667
13,0,154,-2,0,0,0,0,25,1,-26,3,0,0,0,156,1,0,0,1,1,54,1,1,13,13,0.107732465467,0.0905418632203,1,11.8461538462
13,0,41,10,0,0,0,0,0,0,-22,31,0,0,0,31,1,0,0,0,1,54,1,1,13,13,0.295644142125,-0.111170879059,1,3.15384615385
13,0,96,-11,0,0,0,0,19,0,-17,0,0,0,0,107,1,0,0,0,1,54,1,1,13,13,-0.0225536848466,0.0020011863642,1,7.38461538462
12,1,42,1,0,0,0,0,0,0,103,31,0,0,0,41,1,0,0,0,1,55,0,0,12,12,0.305557187514,-0.101257833669,1,3.5
12,1,9,9,1,1,3,3,2,0,-64,31,1,1,0,0,1,1,1,0,1,55,0,0,12,12,0.304184468728,-0.102630552456,1,0.75
13,1,20,-1,0,0,0,0,0,0,44,31,0,0,0,21,1,0,0,0,1,54,1,1,13,13,0.30087823009,-0.105936791093,1,1.53846153846
12,1,70,-8,0,0,0,0,-22,2,-25,-2,0,0,0,78,1,0,0,1,1,55,0,0,12,12,-0.187094014257,-0.134708827407,1,5.83333333333
12,1,26,-23,0,0,0,0,-2,0,-3,-17,0,0,0,49,1,0,0,0,1,55,0,0,12,12,-0.382647760149,-0.121535206013,1,2.16666666667
9,1,85,0,0,0,0,0,2,0,-12,1,0,0,0,85,1,0,0,0,1,58,3,9,9,9,-0.109146438966,-0.0985067255741,1,9.44444444444
12,1,67,21,0,0,0,0,-6,0,-81,2,0,0,0,46,1,0,0,0,1,55,0,0,12,12,-0.148187721615,-0.151463166043,1,5.58333333333
13,1,110,-15,3,3,3,3,10,-1,-15,0,1,1,0,125,1,1,1,1,1,54,1,1,13,13,-0.129456157025,-0.104901285814,1,8.46153846154
12,1,205,0,0,-1,0,-2,46,1,-412,-1,0,1,0,205,1,0,1,1,1,55,0,0,12,12,0.146107003489,0.184577032519,1,17.0833333333
11,0,48,-21,0,-1,0,-3,10,-1,-30,15,0,1,0,69,1,0,1,1,1,56,5,11,11,11,0.0780816448163,-0.10609085126,1,4.36363636364
11,0,125,1,0,0,0,0,62,3,-851,0,0,0,0,124,1,0,0,1,1,56,5,11,11,11,0.327458597856,0.352013469067,1,11.3636363636
12,0,0,0,0,0,0,0,0,0,0,31,0,0,1,0,0,0,0,0,0,55,0,0,12,12,0.297388838113,-0.10942618307,1,0.0
12,1,127,-7,2,2,2,2,54,0,82,-2,1,1,0,134,1,1,1,0,1,55,0,0,12,12,0.165211553898,0.217596740747,1,10.5833333333
13,0,122,-2,0,0,0,0,-26,0,31,0,0,0,0,124,1,0,0,0,1,54,1,1,13,13,-0.285847047118,-0.261292175908,1,9.38461538462
13,0,37,28,0,0,0,0,0,0,-16,31,0,0,0,9,1,0,0,0,1,54,1,1,13,13,0.296119968304,-0.11069505288,1,2.84615384615
12,0,94,-47,0,-1,0,-3,-16,-1,-83,1,0,1,0,141,1,0,1,1,1,55,0,0,12,12,-0.275258123991,-0.2646184106,1,7.83333333333
12,0,170,-13,2,0,4,1,129,-1,-106,0,1,1,0,183,1,1,0,1,1,55,0,0,12,12,0.569658182209,0.59421305342,0,14.1666666667
13,0,91,27,0,0,0,0,-2,1,-185,-14,0,0,0,64,1,0,0,1,1,54,1,1,13,13,-0.301694594215,-0.0823275135357,1,7.0
12,1,129,-1,0,0,0,0,1,1,-3,2,0,0,0,130,1,0,0,1,1,55,0,0,12,12,-0.0468120102412,-0.0500874546688,1,10.75
5,0,128,3,1,1,3,3,-70,1,0,0,1,1,0,125,1,1,1,1,0,62,5,5,5,5,-0.495828812586,-0.471273941375,0,25.6
13,0,144,7,0,0,0,0,12,1,70,31,0,0,0,137,1,0,0,1,1,54,1,1,13,13,0.427807889216,0.0209928680322,1,11.0769230769
12,0,135,61,2,2,3,3,31,2,56,23,1,1,0,74,1,1,1,1,1,55,0,0,12,12,0.48179299575,0.18629923712,1,11.25
12,1,0,0,0,0,0,0,0,0,0,31,0,0,1,0,0,0,0,0,0,55,0,0,12,12,0.297388838113,-0.10942618307,1,0.0
12,1,152,-36,0,0,0,0,-5,0,-142,20,0,0,0,188,1,0,0,0,1,55,0,0,12,12,0.103383107907,-0.150365177266,1,12.6666666667
12,0,128,45,0,0,0,0,10,1,-24,0,0,0,0,83,1,0,0,1,1,55,0,0,12,12,-0.0228877231647,0.00166714804605,1,10.6666666667
11,0,120,-23,0,0,0,0,-9,2,-219,5,0,0,0,143,1,0,0,1,1,56,5,11,11,11,-0.0279107419195,-0.0729316598046,1,10.9090909091
12,0,231,6,1,-1,3,0,65,2,-7253,0,1,0,0,225,1,1,1,1,1,55,0,0,12,12,-0.216082356586,-0.191527485375,1,19.25
7,0,60,-9,0,-1,0,-3,-11,0,-32,-15,0,1,0,69,1,0,1,0,1,60,1,7,7,7,-0.410537265382,-0.177255026883,1,8.57142857143
12,1,162,28,0,-1,0,-3,8,-8,-96,0,0,1,0,134,1,0,1,1,1,55,0,0,12,12,-0.523238526238,-0.498683655027,0,13.5
11,0,112,-1,0,0,0,0,-59,0,34,0,0,0,0,113,1,0,0,0,1,56,5,11,11,11,-0.48148244661,-0.456927575399,1,10.1818181818
12,0,89,-40,1,1,3,3,-23,0,-1620,0,1,1,0,129,1,1,1,0,1,55,0,0,12,12,-0.39897188584,-0.374417014629,1,7.41666666667
12,0,111,35,0,0,0,0,111,3,-43,-2,0,0,0,76,1,0,0,1,1,55,0,0,12,12,0.654548399022,0.706933585871,0,9.25
12,1,0,0,0,0,0,0,0,0,0,31,0,0,1,0,0,0,0,0,0,55,0,0,12,12,0.297388838113,-0.10942618307,1,0.0
5,0,25,4,0,-2,0,-3,-26,0,5,1,0,1,0,21,1,0,1,0,1,62,5,5,5,5,-0.27399380274,-0.263354089349,1,5.0
12,1,0,0,0,0,0,0,0,0,2,31,0,0,1,0,0,0,0,0,1,55,0,0,12,12,0.29754744684,-0.109267574344,1,0.0
12,1,36,-5,1,1,3,3,5,0,344,-31,1,1,0,41,1,1,1,0,1,55,0,0,12,12,-0.50839247113,-0.0524677075253,1,3.0
12,1,106,2,0,0,0,0,22,1,-2,1,0,0,0,104,1,0,0,1,1,55,0,0,12,12,0.0639987897633,0.0746385031549,1,8.83333333333
13,0,89,6,0,0,0,0,5,0,696,21,0,0,0,83,1,0,0,0,1,54,1,1,13,13,0.243110871283,-0.0245525717091,1,6.84615384615
11,1,145,0,0,0,0,0,0,0,-39,7,0,0,0,145,1,0,0,0,1,56,5,11,11,11,-0.0396678197081,-0.112519053232,1,13.1818181818
12,0,35,-1,0,0,0,0,1,0,0,19,0,0,0,36,1,0,0,0,0,55,0,0,12,12,0.13634249921,-0.103490628143,1,2.91666666667
8,1,135,-2,1,1,2,2,82,-3,-248,0,1,1,0,137,1,1,1,1,1,59,2,8,8,8,0.172143707964,0.196698579175,1,16.875
17,0,10,-12,0,0,0,0,0,0,-21,31,0,0,0,22,1,0,0,0,1,50,5,5,17,17,0.295723446488,-0.111091574695,1,0.588235294118
16,0,196,-6,0,-1,0,-3,12,1,135,-2,0,1,0,202,1,0,1,1,1,51,4,4,16,16,-0.0262375352145,0.0261476516346,1,12.25
17,1,95,10,2,2,3,3,9,0,-2554,-11,1,1,0,85,1,1,1,0,1,50,5,5,17,17,-0.436171139345,-0.258549532124,1,5.58823529412
13,1,77,1,0,0,0,0,3,0,0,17,0,0,0,76,1,0,0,0,0,54,1,1,13,13,0.120383293425,-0.09161951829,1,5.92307692308
15,1,165,2,1,0,0,-3,1,6,-325,-1,0,1,0,163,1,1,0,1,1,52,3,3,15,15,0.154111944198,0.192581973228,1,11.0
16,0,158,-6,1,0,3,0,-6,-3,-1,0,1,0,0,164,1,1,0,1,1,51,4,4,16,16,-0.330596947896,-0.306042076685,1,9.875
16,0,130,-3,0,0,0,0,17,-2,-18,0,0,0,0,133,1,0,0,1,1,51,4,4,16,16,-0.141786272191,-0.11723140098,1,8.125
16,0,117,15,1,0,3,-1,-10,0,0,0,1,1,0,102,1,1,0,0,0,51,4,4,16,16,-0.193336603548,-0.168781732337,1,7.3125
16,0,183,4,3,0,3,0,13,2,-96,-2,1,0,0,179,1,1,0,1,1,51,4,4,16,16,0.0150197983967,0.0674049852458,1,11.4375
16,0,17,0,0,0,0,0,0,0,0,30,0,0,0,17,1,0,0,0,0,51,4,4,16,16,0.283473680294,-0.10942618307,1,1.0625
16,0,151,-14,1,1,3,3,7,-3,105,-2,1,1,0,165,1,1,1,1,1,51,4,4,16,16,-0.272858786997,-0.220473600148,1,9.4375
15,1,10,1,0,0,0,0,0,0,-3,31,0,0,0,9,1,0,0,0,1,52,3,3,15,15,0.297150925024,-0.109664096159,1,0.666666666667
14,0,173,-17,0,-5,0,-3,-33,-6,-20,0,0,1,0,190,1,0,1,1,1,53,2,2,14,14,-0.653286973508,-0.628732102297,0,12.3571428571
16,0,33,33,0,0,0,0,8,0,-7,30,0,0,0,0,1,0,0,0,1,51,4,4,16,16,0.330402989166,-0.0624968741983,1,2.0625
15,0,196,2,1,0,2,-1,-20,1,-968,3,1,1,0,194,1,1,0,1,1,52,3,3,15,15,-0.234072216288,-0.251262818535,1,13.0666666667
12,0,141,-21,0,0,0,0,-3,0,-503,0,0,0,0,162,1,0,0,0,1,55,0,0,12,12,-0.191677813707,-0.167122942497,1,11.75
16,0,234,18,3,2,3,0,88,1,189,0,1,0,0,216,1,1,1,1,1,51,4,4,16,16,0.456977390461,0.481532261672,0,14.625
13,1,77,-8,0,0,0,0,0,0,6,-1,0,0,0,85,1,0,0,0,1,54,1,1,13,13,-0.147420385921,-0.108950356891,1,5.92307692308
15,0,148,20,5,3,3,0,47,0,33,0,1,0,0,128,1,1,1,0,1,52,3,3,15,15,0.147607071257,0.172161942467,1,9.86666666667
14,1,110,14,0,0,0,0,33,0,17,3,0,0,0,96,1,0,0,0,1,53,2,2,14,14,0.104985905931,0.0877953036838,1,7.85714285714
15,0,156,-5,0,-2,0,-3,6,0,100,0,0,1,0,161,1,0,1,0,1,52,3,3,15,15,-0.0904372884092,-0.0658824171985,1,10.4
16,0,166,-1,0,0,0,0,4,0,15,11,0,0,0,167,1,0,0,0,1,51,4,4,16,16,0.0440174668835,-0.0844943979166,1,10.375
12,0,178,-16,0,0,0,0,-6,0,-475,0,0,0,0,194,1,0,0,0,1,55,0,0,12,12,-0.20726395632,-0.18270908511,1,14.8333333333
12,0,31,11,3,2,3,0,67,0,-1,0,1,0,0,20,1,1,1,0,1,55,0,0,12,12,0.263621821445,0.288176692655,1,2.58333333333
16,0,152,-24,1,0,3,0,-11,-7,955,0,1,0,0,176,1,1,0,1,1,51,4,4,16,16,-0.499024097648,-0.474469226437,0,9.5
16,0,85,-2,0,0,0,0,1,0,-139,19,0,0,0,87,1,0,0,0,1,51,4,4,16,16,0.125319192737,-0.114513934616,1,5.3125
16,0,142,46,3,3,3,3,34,1,9,-2,1,1,0,96,1,1,1,1,1,51,4,4,16,16,0.0943523234204,0.14673751027,1,8.875
12,1,122,-16,0,0,0,0,7,-7,33,-2,0,0,0,138,1,0,0,1,1,55,0,0,12,12,-0.493133047397,-0.440747860548,1,10.1666666667
