ID,Customer Age (in months),"Churn (1 = Yes, 0 = No)",CHI Score Month 0,CHI Score 0-1,Support Cases Month 0,Support Cases 0-1,SP Month 0,SP 0-1,Logins 0-1,Blog Articles 0-1,Views 0-1, Days Since Last Login 0-1
 63 ,47,0,53,-27,0,0,0,0,-4,0,41,4
 64 ,48,0,39,-52,0,0,0,0,-1,0,33,-5
 65 ,48,0,103,4,0,-3,0,-3,14,0,-9,0
 66 ,13,1,122,31,6,4,3,0,94,4,-1,-9
 67 ,48,0,109,50,0,-1,0,-2,2,1,-221,13
 68 ,43,0,0,0,1,1,2,2,0,0,0,31
 69 ,46,0,10,10,0,0,0,0,10,0,0,31
 70 ,47,0,145,10,0,0,0,0,38,0,-5083,0
 71 ,48,0,108,33,0,0,0,0,6,0,993,31
 72 ,45,0,45,0,0,0,0,0,7,0,-13,3
 73 ,47,0,193,0,0,0,0,0,47,1,83,-1
 74 ,47,0,101,39,0,0,0,0,24,1,-2,2
 75 ,47,0,17,-10,0,0,0,0,-4,0,2,-10
 76 ,45,0,1,-70,0,0,0,0,-7,-1,0,3
 77 ,46,0,158,2,0,-1,0,-3,5,-4,12,3
 78 ,38,0,198,-15,0,0,0,0,21,0,-172,0
 79 ,38,0,77,-2,0,0,0,0,-3,0,716,-1
 80 ,47,0,82,0,0,0,0,0,11,0,0,3
 81 ,46,0,94,10,1,1,3,3,42,0,-63,-24
 82 ,28,0,152,-4,0,0,0,0,19,0,9,-2
 83 ,46,0,125,15,1,1,3,3,11,0,-100,3
 84 ,47,0,35,0,0,0,0,0,0,0,0,9
 85 ,43,0,166,-1,0,0,0,0,10,-1,1304,-1
 86 ,46,0,61,-11,1,1,3,3,10,0,-35,15
 87 ,42,0,97,2,0,-1,0,-3,-28,0,0,0
 88 ,46,0,74,0,0,0,0,0,1,0,0,-3
 89 ,46,0,4,4,1,1,2,2,10,0,0,31
 90 ,46,0,145,0,0,0,0,0,98,0,629,0
 91 ,45,0,75,-17,0,0,0,0,-1,-1,0,-3
 92 ,46,0,79,13,0,0,0,0,-4,0,4,-22
 93 ,46,0,175,10,0,0,0,0,22,0,-1419,0
 94 ,44,1,0,-12,0,0,0,0,-1,0,0,-90
 95 ,46,0,6,6,0,0,0,0,10,0,0,31
 96 ,46,0,85,-36,0,0,0,0,2,-1,-37,-4
 97 ,45,0,59,41,0,0,0,0,0,0,-57,31
 98 ,46,0,109,-13,0,0,0,0,1,-2,158,-9
 99 ,44,0,87,45,0,0,0,0,10,1,-4,30
 100 ,45,0,161,-10,0,0,0,0,-10,-4,71,0
 101 ,41,0,0,0,0,0,0,0,0,0,5,31
 102 ,45,0,169,-8,9,-5,3,0,54,0,345,0
 103 ,44,0,88,22,0,-1,0,-3,30,0,-5,2
 104 ,28,0,0,0,0,0,0,0,0,0,0,31
 105 ,42,1,26,-13,0,0,0,0,0,0,16,-5
 106 ,38,0,0,0,0,0,0,0,0,0,0,30
 107 ,45,0,155,-6,0,0,0,0,-1,-4,127,0
 108 ,45,0,71,-11,0,0,0,0,-15,-1,0,0
 109 ,40,0,0,-125,0,0,0,0,-8,0,-216,6
 110 ,44,0,0,-6,0,0,0,0,-10,0,0,-72
 111 ,29,0,103,-8,0,0,0,0,3,3,15,-70
 112 ,45,0,39,23,0,0,0,0,2,0,0,31
 113 ,43,0,42,10,0,0,0,0,6,0,-6,30
 114 ,45,0,73,-6,0,0,0,0,6,0,-1,-24
 115 ,45,0,58,38,0,0,0,0,6,0,-20,5
 116 ,45,0,68,-7,1,1,0,0,22,0,-7,31
 117 ,45,0,89,-5,0,-2,0,-3,-61,0,1013,0
 118 ,45,0,138,4,0,0,0,0,-8,0,534,-29
 119 ,42,0,0,0,0,0,0,0,0,0,0,31
 120 ,45,0,90,0,0,0,0,0,7,0,-73,0
 121 ,45,0,0,0,0,0,0,0,0,0,0,31
 122 ,43,0,48,-11,0,0,0,0,-3,0,0,3
 123 ,44,0,10,-25,0,-1,0,-2,-4,0,-5,18
 124 ,44,0,106,0,0,0,0,0,7,0,30,4
 125 ,44,0,128,35,0,-3,0,-3,-7,1,0,-15
 126 ,45,0,90,-5,0,0,0,0,21,0,-39,2
 127 ,45,0,47,-21,0,0,0,0,-12,0,0,3
 128 ,41,0,31,-26,0,0,0,0,0,0,-32,31
 129 ,45,0,191,-1,0,0,0,0,12,-1,-28,0
 130 ,45,0,45,10,0,0,0,0,9,0,0,2
 131 ,45,0,121,90,1,1,3,3,184,4,17,-7
 132 ,44,0,76,32,0,0,0,0,18,0,2,31
 133 ,44,0,50,25,0,0,0,0,4,0,100,-187
 134 ,43,0,101,84,0,0,0,0,6,1,38,30
 135 ,44,0,74,-38,0,0,0,0,0,-2,243,0
 136 ,44,0,105,-5,0,0,0,0,1,0,669,18
 137 ,44,0,0,0,0,0,0,0,0,0,0,31
 138 ,41,0,60,0,0,0,0,0,0,0,0,30
 139 ,44,0,55,-73,2,-1,3,0,-39,-3,-45,-1
 140 ,43,0,91,-50,0,-3,0,-3,-18,-2,2034,-4
 141 ,45,0,19,-1,0,0,0,0,11,0,0,-3
 142 ,43,0,15,-27,0,0,0,0,-2,0,0,11
 143 ,44,0,59,0,0,0,0,0,14,1,0,0
 144 ,43,0,70,-6,0,0,0,0,-4,-3,0,1
 145 ,44,0,180,2,0,0,0,0,36,5,-1698,0
 146 ,42,0,0,-2,0,0,0,0,0,0,0,30
 147 ,43,0,38,-11,0,0,0,0,0,0,6,0
 148 ,42,0,116,-1,0,0,0,0,12,0,-61,31
 149 ,44,0,95,-15,0,0,0,0,-11,0,6,10
 150 ,44,0,181,-2,0,0,0,0,20,-1,1544,0
 151 ,43,0,90,10,0,0,0,0,16,0,0,0
 152 ,40,0,120,2,1,1,2,2,35,0,35,3
 153 ,38,1,116,1,1,0,3,0,41,1,0,-26
 154 ,43,0,0,0,0,0,0,0,0,0,-3,31
 155 ,43,0,193,15,3,1,3,1,9,1,-7657,0
 156 ,41,1,8,0,0,0,0,0,0,0,0,31
 157 ,43,0,105,0,0,0,0,0,-4,0,0,-2
 158 ,42,0,33,-12,0,0,0,0,2,0,1,5
 159 ,43,0,93,-20,0,0,0,0,-4,0,-3745,-4
 160 ,42,0,80,8,0,0,0,0,0,0,-16,21
 161 ,42,0,81,0,0,0,0,0,-2,0,2,-3
 162 ,43,0,172,37,0,0,0,0,11,2,3460,2
 163 ,42,0,36,-4,0,0,0,0,-1,0,-3,27
 164 ,43,0,188,0,0,-1,0,-3,5,0,1708,0
 165 ,1,0,0,0,0,0,0,0,0,0,0,0
 166 ,43,0,51,-35,0,0,0,0,-5,0,0,-89
 167 ,43,0,83,-61,0,0,0,0,8,0,-3,-2
 168 ,42,0,88,-7,0,0,0,0,-10,0,-2611,1
 169 ,42,0,40,0,0,0,0,0,1,0,-3,-23
 170 ,43,0,68,-1,0,0,0,0,3,0,0,-67
 171 ,42,0,0,0,0,0,0,0,0,0,0,31
 172 ,43,0,136,9,0,0,0,0,21,0,-200,-5
 173 ,43,0,171,47,3,3,3,3,85,0,3,0
 174 ,42,0,63,20,0,0,0,0,4,0,0,31
 175 ,43,0,63,24,0,0,0,0,0,0,0,31
 176 ,43,0,122,-44,0,-1,0,-3,-3,-3,705,-4
 177 ,42,0,60,0,1,1,3,3,30,0,0,0
 178 ,42,0,76,-8,0,0,0,0,12,0,1580,31
 179 ,42,0,44,-11,0,0,0,0,-3,0,0,-1
 180 ,42,0,114,18,1,0,3,0,33,6,0,4
 181 ,42,0,69,69,0,0,0,0,6,0,0,31
 182 ,42,0,85,0,0,0,0,0,25,0,0,-3
 183 ,42,0,0,-17,0,0,0,0,-1,0,0,25
 184 ,42,0,131,-2,0,0,0,0,2,0,489,31
 185 ,41,0,60,29,0,0,0,0,4,0,-285,10
 186 ,42,0,189,2,2,2,3,3,32,2,-145,0
 187 ,42,0,178,-1,1,0,3,0,21,-1,104,0
 188 ,42,0,105,5,0,0,0,0,-9,0,0,0
 189 ,42,0,148,-14,1,0,2,-1,28,2,723,0
 190 ,42,0,0,0,0,0,0,0,0,0,1,31
 191 ,41,0,104,-10,0,0,0,0,6,0,2,0
 192 ,42,0,44,-25,0,0,0,0,-2,0,0,-95
 193 ,42,0,118,79,0,0,0,0,11,0,0,18
 194 ,42,0,16,10,2,2,3,3,19,0,0,-92
 195 ,42,0,183,31,5,3,3,0,82,-4,124,0
 196 ,42,0,120,-10,0,0,0,0,5,0,-166,0
 197 ,40,0,107,-7,1,1,3,3,-33,-4,-22,-3
 198 ,40,0,165,30,2,2,3,3,52,0,-28,1
 199 ,41,0,130,18,0,0,0,0,13,-2,-380,0
 200 ,40,1,130,0,1,1,3,3,-7,0,-87,4
 201 ,41,0,145,18,4,3,3,0,15,0,33,-3
 202 ,40,0,115,10,0,0,0,0,16,1,5,-3
 203 ,39,0,15,-4,0,0,0,0,0,0,-14,31
 204 ,36,1,105,-1,0,0,0,0,26,0,-61,-1
 205 ,40,0,73,50,0,0,0,0,10,0,1300,31
 206 ,13,0,121,-15,0,0,0,0,1,-1,266,0
 207 ,13,0,3,0,2,1,3,3,19,0,0,-16
 208 ,7,0,141,22,2,1,3,0,70,0,72,-3
 209 ,14,0,165,67,2,1,3,0,97,15,-1,-9
 210 ,14,0,36,-44,0,-1,0,-3,6,0,150,2
 211 ,12,1,143,37,0,0,0,0,50,3,18,28
 212 ,14,0,0,0,0,0,0,0,0,0,0,30
 213 ,14,0,124,-6,0,0,0,0,-7,0,28,7
 214 ,14,0,150,50,0,0,0,0,-13,2,76,0
 215 ,14,0,109,-3,0,0,0,0,2,0,463,9
 216 ,13,0,118,-1,1,1,3,3,41,-2,5,0
 217 ,12,0,215,8,2,1,3,1,17,-4,4914,0
 218 ,14,0,150,-44,0,0,0,0,-1,-4,14868,-16
 219 ,11,0,158,32,0,0,0,0,33,0,-41,0
 220 ,11,0,87,20,0,0,0,0,27,0,-76,0
 221 ,14,0,173,9,1,-1,3,0,27,0,-785,0
 222 ,12,0,119,-16,0,0,0,0,45,2,-301,0
 223 ,13,0,167,10,0,0,0,0,10,0,29,-3
 224 ,14,0,115,16,0,0,0,0,-8,0,-11,7
 225 ,13,0,165,77,0,-1,0,-3,42,0,-117,-4
 226 ,14,0,59,-11,0,0,0,0,72,0,-11,-2
 227 ,13,1,0,0,0,0,0,0,0,0,-1,31
 228 ,14,0,5,-21,0,0,0,0,-1,0,-711,15
 229 ,14,0,162,53,0,0,0,0,-23,-2,4,-18
 230 ,14,0,174,-3,0,-3,0,-3,30,-2,26,0
 231 ,14,0,192,8,1,0,3,-1,84,-1,-5,0
 232 ,14,0,162,5,2,-2,3,0,-1,0,224,4
 233 ,14,0,172,-3,1,-2,3,0,39,0,-229,0
 234 ,14,0,167,-7,1,1,3,3,39,-7,-436,0
 235 ,8,0,129,-9,0,-1,0,-3,61,0,182,-2
 236 ,14,0,78,-6,0,0,0,0,9,0,9,0
 237 ,14,0,53,27,0,0,0,0,0,0,-13,7
 238 ,14,0,75,9,0,0,0,0,13,0,-8,29
 239 ,14,1,26,-1,0,0,0,0,4,0,-10,-3
 240 ,13,0,0,-22,0,0,0,0,0,0,-4,30
 241 ,13,0,120,-44,0,0,0,0,49,-1,-99,0
 242 ,12,0,178,-33,5,-1,3,0,1,-2,-114,-1
 243 ,13,0,188,1,0,-1,0,-3,8,-1,-41,-8
 244 ,1,0,0,0,0,0,0,0,0,0,0,0
 245 ,14,0,133,0,2,2,3,3,39,0,-45,3
 246 ,13,0,35,-81,0,0,0,0,-12,-2,8,7
 247 ,12,0,113,-2,0,-1,0,-3,3,1,-11,-1
 248 ,13,0,171,-21,0,0,0,0,54,-3,1091,-1
 249 ,10,0,71,0,1,0,3,0,6,0,10,-1
 250 ,14,0,165,30,0,-1,0,-3,41,2,-54,-2
 251 ,14,0,93,-27,0,-2,0,-3,-37,0,333,0
 252 ,14,0,138,7,1,1,3,3,39,3,-31,3
 253 ,13,0,151,-1,0,0,0,0,4,-1,-2,-14
 254 ,1,0,0,0,0,0,0,0,0,0,0,0
 255 ,14,0,144,28,2,-3,3,0,7,3,-509,6
 256 ,11,0,59,0,0,0,0,0,-2,0,-84,-3
 257 ,12,1,0,0,0,0,0,0,0,0,0,31
 258 ,14,0,131,-9,0,0,0,0,-9,1,40,-1
 259 ,14,0,134,-1,0,0,0,0,3,0,-19,0
 260 ,13,0,106,8,3,1,3,0,-20,1,-29,0
 261 ,12,0,130,-13,1,-3,3,0,20,1,278,-2
 262 ,13,0,88,9,0,0,0,0,11,0,28,-2
 263 ,13,0,187,47,4,2,3,0,28,1,44,0
 264 ,13,0,176,14,0,0,0,0,15,4,-102,0
 265 ,14,0,86,8,0,0,0,0,8,4,0,-4
 266 ,12,1,70,35,0,0,0,0,0,0,-26,30
 267 ,13,1,147,1,2,2,3,3,24,0,-214,-1
 268 ,14,0,89,56,0,0,0,0,6,1,30,30
 269 ,14,0,137,28,0,0,0,0,49,-2,-34,0
 270 ,13,0,39,-41,2,2,3,3,66,-1,-10,-109
 271 ,12,0,6,-36,0,0,0,0,-3,0,0,5
 272 ,14,0,0,0,0,0,0,0,4,0,0,31
 273 ,14,0,138,15,1,1,3,3,34,6,-835,9
 274 ,14,0,128,-3,0,-1,0,-3,-39,0,105,0
 275 ,10,0,177,19,0,-1,0,-3,18,0,43,0
 276 ,14,0,140,0,0,0,0,0,-50,0,-104,0
 277 ,5,0,112,3,0,-2,0,-3,36,-2,1490,0
 278 ,13,0,0,0,0,0,0,0,0,0,2,31
 279 ,12,0,0,0,0,0,0,0,0,0,-8,31
 280 ,14,0,68,-10,6,6,3,3,48,0,-681,3
 281 ,14,0,130,0,0,0,0,0,4,0,-1603,3
 282 ,14,0,145,-11,3,-7,3,0,-25,-1,-244,-1
 283 ,12,1,77,-5,2,1,3,0,-1,-5,1,5
 284 ,14,0,116,-8,0,0,0,0,1,2,20,-8
 285 ,18,1,155,-13,0,0,0,0,-76,-3,63,0
 286 ,14,0,136,105,3,2,3,0,342,0,0,-1
 287 ,13,0,18,-1,0,0,0,0,0,0,-2,30
 288 ,13,0,35,-20,1,1,3,3,69,0,16,-1
 289 ,13,0,41,-29,4,3,3,0,12,-1,5,-2
 290 ,13,0,165,0,0,0,0,0,6,-1,5322,0
 291 ,12,0,180,12,3,-5,3,0,-34,-2,57,0
 292 ,14,0,61,-49,0,0,0,0,-15,-5,21,-4
 293 ,13,0,143,-4,0,0,0,0,-1,0,-55,20
 294 ,13,1,78,2,0,0,0,0,16,2,1,-11
 295 ,14,0,32,-44,2,2,3,3,0,-3,-3,-3
 296 ,14,0,85,-17,4,-5,3,0,83,0,3,0
 297 ,11,0,231,0,1,-2,3,0,48,-1,-321,0
 298 ,14,0,148,19,0,0,0,0,4,0,-27,20
 299 ,14,1,14,-101,0,0,0,0,-4,-1,-16,9
 300 ,12,1,0,-8,0,-1,0,-3,-3,0,8,-7
 301 ,13,0,40,12,0,0,0,0,20,0,-1,17
 302 ,8,0,16,-2,0,0,0,0,4,0,5,-32
 303 ,13,0,94,-35,0,-1,0,-3,-13,0,139,3
 304 ,10,0,34,10,0,0,0,0,0,0,-128,31
 305 ,12,0,0,-35,0,0,0,0,-12,0,1384,7
 306 ,13,0,69,6,0,0,0,0,2,0,16,31
 307 ,19,0,61,61,0,-1,0,-3,24,0,0,-7
 308 ,14,0,143,-2,0,-1,0,-3,9,1,2260,0
 309 ,11,0,101,-50,0,0,0,0,-46,-2,154,-5
 310 ,12,0,142,-25,1,-2,3,0,-25,-4,-2,-2
 311 ,14,0,120,0,0,0,0,0,-2,0,-66,-2
 312 ,13,0,61,1,0,0,0,0,2,0,-44,30
 313 ,14,0,61,26,0,0,0,0,0,0,-10,31
 314 ,13,0,118,-12,0,-1,0,-3,-41,0,-1,2
 315 ,6,0,20,-1,0,0,0,0,-2,0,15,4
 316 ,13,0,76,-4,0,0,0,0,5,-1,1,0
 317 ,12,1,0,0,0,0,0,0,0,0,0,31
 318 ,14,0,0,-42,0,0,0,0,-14,0,14,-1
 319 ,12,1,0,-16,0,0,0,0,-4,0,12,-2
 320 ,13,0,42,-17,0,0,0,0,6,0,-15,9
 321 ,14,0,105,-57,0,0,0,0,-41,-4,37,-1
 322 ,14,0,99,-10,0,0,0,0,3,0,-974,9
 323 ,12,0,122,-2,0,0,0,0,-16,-1,18,-4
 324 ,12,1,105,-36,0,-1,0,-3,1,-1,66,-6
 325 ,14,0,156,-4,0,0,0,0,28,-2,-169,0
 326 ,9,0,75,-1,0,0,0,0,67,0,22,12
 327 ,5,0,118,6,0,-1,0,-3,-29,5,191,-5
 328 ,14,0,56,-4,0,0,0,0,-2,0,-786,4
 329 ,14,0,177,-6,2,1,3,0,1,-14,-8839,0
 330 ,13,0,185,-37,2,2,3,3,8,-2,12,0
 331 ,9,0,83,9,2,1,3,0,18,0,-200,2
 332 ,12,0,78,11,0,0,0,0,14,0,-420,4
 333 ,13,0,173,44,0,0,0,0,19,1,-31,-7
 334 ,12,0,58,-1,0,0,0,0,2,0,33,31
 335 ,12,1,0,-64,0,0,0,0,-7,-3,-19,19
 336 ,9,0,87,-21,0,-1,0,-3,15,2,48,-12
 337 ,13,0,127,-11,1,0,3,0,4,0,-7323,1
 338 ,12,0,186,2,1,0,3,0,85,0,34,-1
 339 ,13,1,54,19,0,0,0,0,0,-1,426,31
 340 ,14,0,129,-13,0,0,0,0,-11,-2,165,-2
 341 ,13,0,73,-10,0,0,0,0,-3,0,156,-9
 342 ,13,0,82,-38,0,0,0,0,0,-1,10,6
 343 ,14,0,65,40,1,1,3,3,10,0,-313,3
 344 ,14,0,58,-52,0,-1,0,-3,-32,0,55,1
 345 ,12,1,58,41,0,0,0,0,31,5,8,9
 346 ,14,0,0,0,0,0,0,0,0,0,0,31
 347 ,14,0,143,5,0,0,0,0,23,1,-196,0
 348 ,14,0,25,24,0,0,0,0,2,0,0,31
 349 ,14,0,173,3,3,0,3,0,8,0,754,0
 350 ,14,0,3,0,1,1,3,3,3,0,0,-31
 351 ,13,0,79,-5,0,-2,0,-3,2,0,65,0
 352 ,14,0,78,-33,0,-2,0,-3,-17,-5,-703,10
 353 ,14,0,95,3,0,0,0,0,12,0,76,-2
 354 ,13,0,139,-29,0,0,0,0,-4,1,244,-1
 355 ,12,0,88,0,0,0,0,0,-4,0,-146,2
 356 ,13,0,167,3,1,1,2,2,43,2,-227,0
 357 ,12,1,203,25,7,6,3,0,88,-2,-28322,3
 358 ,11,0,166,10,3,2,3,0,73,1,30,0
 359 ,11,0,158,-15,5,-1,3,0,-34,1,137,0
 360 ,11,0,70,1,0,0,0,0,2,0,-43,5
 361 ,13,0,125,23,0,0,0,0,3,0,-127,6
 362 ,13,0,111,-2,0,-1,0,-3,2,0,0,0
 363 ,12,1,0,0,0,0,0,0,0,0,0,31
 364 ,11,0,166,9,0,0,0,0,-8,-1,-933,3
 365 ,12,0,45,-67,0,0,0,0,-4,-1,1,-5
 366 ,13,1,135,-39,0,0,0,0,-12,-1,39,0
 367 ,10,0,119,-2,0,0,0,0,11,-6,-18,-2
 368 ,12,0,117,5,0,0,0,0,14,-4,-1,5
 369 ,12,1,14,-42,0,0,0,0,3,0,4,-34
 370 ,12,0,96,-48,0,-5,0,-3,-7,0,-12,3
 371 ,12,1,0,0,0,0,0,0,0,0,0,31
 372 ,13,0,136,14,3,2,3,0,69,-1,-107,-1
 373 ,13,0,163,-3,10,8,3,0,174,11,-57,-2
 374 ,2,0,0,0,0,0,0,0,0,0,0,0
 375 ,10,0,177,-15,0,0,0,0,0,0,209,-3
 376 ,3,0,0,0,0,0,0,0,12,0,0,0
 377 ,12,0,135,-13,0,-1,0,-3,-9,-2,-2,12
 378 ,5,0,61,-3,0,0,0,0,-1,-12,12,7
 379 ,10,0,200,-13,3,1,3,0,25,-2,2388,0
 380 ,13,0,155,20,1,1,2,2,200,0,1980,-1
 381 ,12,1,43,-28,0,0,0,0,-2,0,2,-60
 382 ,11,0,75,-1,0,0,0,0,-4,-1,-441,-17
 383 ,13,0,155,19,5,4,3,0,-4,0,695,0
 384 ,10,1,30,-39,0,0,0,0,-2,-1,9,-36
 385 ,13,0,192,-5,0,0,0,0,16,1,-237,0
 386 ,12,0,101,-27,0,-3,0,-3,-44,0,112,-2
 387 ,13,1,61,-12,0,0,0,0,2,0,28,31
 388 ,13,0,189,-22,0,0,0,0,-73,-3,51,0
 389 ,12,0,141,58,0,-2,0,-3,1,-1,-5,0
 390 ,13,0,150,20,0,0,0,0,67,3,-4,-1
 391 ,12,0,158,-16,0,0,0,0,62,-5,13,0
 392 ,13,0,253,11,2,1,3,0,9,-5,-1113,0
 393 ,11,0,124,-11,0,-1,0,-3,22,1,30,-1
 394 ,13,1,128,-18,0,0,0,0,2,-2,-31,6
 395 ,13,0,83,38,0,0,0,0,4,0,-49,31
 396 ,13,0,55,35,0,0,0,0,12,0,0,31
 397 ,10,0,121,-47,2,0,3,0,0,-1,2008,4
 398 ,13,0,103,2,0,0,0,0,20,1,-102,-7
 399 ,13,0,161,51,0,-1,0,-3,-15,1,2,-6
 400 ,19,0,0,0,0,0,0,0,0,0,0,31
 401 ,12,0,180,-1,2,0,3,1,8,-1,493,-1
 402 ,12,1,8,-7,0,0,0,0,0,0,0,31
 403 ,11,0,121,0,2,1,3,0,23,0,93,0
 404 ,12,0,39,-25,0,0,0,0,0,0,-52,31
 405 ,13,0,170,35,1,-1,3,0,30,-2,-519,0
 406 ,8,0,119,8,0,0,0,0,19,0,-1025,-3
 407 ,5,0,0,-43,2,-1,3,0,-27,-1,8,5
 408 ,13,0,122,-28,0,0,0,0,0,-3,60,0
 409 ,12,0,98,14,0,0,0,0,3,0,-5,0
 410 ,11,0,168,-8,0,-1,0,-3,-11,1,115,-1
 411 ,13,0,252,13,8,2,3,0,36,-1,728,0
 412 ,12,1,5,-31,0,0,0,0,-1,0,-38,4
 413 ,13,0,0,0,0,0,0,0,2,0,-4,31
 414 ,13,0,221,36,0,-3,0,-3,37,1,178,0
 415 ,13,0,0,-21,0,-1,0,-3,-10,0,-6,-5
 416 ,13,0,0,0,0,0,0,0,0,0,-8,31
 417 ,13,0,70,21,0,0,0,0,6,0,-173,30
 418 ,13,0,154,-2,0,0,0,0,25,1,-26,3
 419 ,12,0,61,-1,0,0,0,0,4,0,-29,-11
 420 ,13,0,157,-2,2,2,3,3,80,-1,232,-2
 421 ,13,0,41,10,0,0,0,0,0,0,-22,31
 422 ,13,0,73,19,2,2,3,3,61,0,-67,-9
 423 ,10,0,0,0,0,0,0,0,0,0,0,31
 424 ,13,0,131,-4,0,0,0,0,48,0,-13,3
 425 ,13,0,0,-25,0,0,0,0,-2,0,0,-27
 426 ,13,0,96,-11,0,0,0,0,19,0,-17,0
 427 ,13,0,0,0,0,0,0,0,0,0,0,31
 428 ,13,0,201,-1,10,-1,3,0,56,0,-5933,0
 429 ,13,0,137,-9,0,-2,0,-3,22,2,43,0
 430 ,12,1,42,1,0,0,0,0,0,0,103,31
 431 ,13,0,228,-2,3,-1,4,1,28,-2,-203,-5
 432 ,12,0,133,-5,1,1,3,3,-6,0,923,2
 433 ,12,0,77,10,0,0,0,0,4,0,-87,7
 434 ,13,0,186,-2,3,2,3,0,3,-2,-36,0
 435 ,13,0,67,46,0,0,0,0,8,1,2,-29
 436 ,13,0,81,-36,0,0,0,0,-12,-1,-118,-2
 437 ,13,0,154,-53,2,0,3,0,23,-1,59,0
 438 ,13,0,160,-2,0,0,0,0,-24,-1,-64,-4
 439 ,12,1,9,9,1,1,3,3,2,0,-64,31
 440 ,13,0,0,0,0,0,0,0,0,0,0,31
 441 ,13,0,125,-47,0,0,0,0,0,-7,-347,-2
 442 ,11,0,152,30,2,2,3,3,2,1,6,-1
 443 ,13,0,53,-15,0,0,0,0,2,0,69,15
