ID,Longevity - Months,Churn,Happiness Index - Current Month,Happiness Index - Change,Support Cases - Current Month,Support Cases - Change,Support Priority - Current Month,Support Priority - Change,Logins - Change,Blogs - Change,Views - Change,Days Since Last Login - Change
131,44,0,76,32,0,0,0,0,18,0,2,31
132,44,0,50,25,0,0,0,0,4,0,100,-187
133,43,0,101,84,0,0,0,0,6,1,38,30
134,44,0,74,-38,0,0,0,0,0,-2,243,0
135,44,0,105,-5,0,0,0,0,1,0,669,18
136,44,0,0,0,0,0,0,0,0,0,0,31
137,41,0,60,0,0,0,0,0,0,0,0,30
138,44,0,55,-73,2,-1,3,0,-39,-3,-45,-1
139,43,0,91,-50,0,-3,0,-3,-18,-2,2034,-4
140,45,0,19,-1,0,0,0,0,11,0,0,-3
141,43,0,15,-27,0,0,0,0,-2,0,0,11
142,44,0,59,0,0,0,0,0,14,1,0,0
143,43,0,70,-6,0,0,0,0,-4,-3,0,1
144,44,0,180,2,0,0,0,0,36,5,-1698,0
145,42,0,0,-2,0,0,0,0,0,0,0,30
146,43,0,38,-11,0,0,0,0,0,0,6,0
147,42,0,116,-1,0,0,0,0,12,0,-61,31
148,44,0,95,-15,0,0,0,0,-11,0,6,10
149,44,0,181,-2,0,0,0,0,20,-1,1544,0
150,43,0,90,10,0,0,0,0,16,0,0,0
151,40,0,120,2,1,1,2,2,35,0,35,3
152,38,1,116,1,1,0,3,0,41,1,0,-26
153,43,0,0,0,0,0,0,0,0,0,-3,31
154,43,0,193,15,3,1,3,1,9,1,-7657,0
155,41,1,8,0,0,0,0,0,0,0,0,31
156,43,0,105,0,0,0,0,0,-4,0,0,-2
157,42,0,33,-12,0,0,0,0,2,0,1,5
158,43,0,93,-20,0,0,0,0,-4,0,-3745,-4
159,42,0,80,8,0,0,0,0,0,0,-16,21
160,42,0,81,0,0,0,0,0,-2,0,2,-3
161,43,0,172,37,0,0,0,0,11,2,3460,2
162,42,0,36,-4,0,0,0,0,-1,0,-3,27
163,43,0,188,0,0,-1,0,-3,5,0,1708,0
164,1,0,0,0,0,0,0,0,0,0,0,0
165,43,0,51,-35,0,0,0,0,-5,0,0,-89
166,43,0,83,-61,0,0,0,0,8,0,-3,-2
167,42,0,88,-7,0,0,0,0,-10,0,-2611,1
168,42,0,40,0,0,0,0,0,1,0,-3,-23
169,43,0,68,-1,0,0,0,0,3,0,0,-67
170,42,0,0,0,0,0,0,0,0,0,0,31
171,43,0,136,9,0,0,0,0,21,0,-200,-5
172,43,0,171,47,3,3,3,3,85,0,3,0
173,42,0,63,20,0,0,0,0,4,0,0,31
174,43,0,63,24,0,0,0,0,0,0,0,31
175,43,0,122,-44,0,-1,0,-3,-3,-3,705,-4
176,42,0,60,0,1,1,3,3,30,0,0,0
177,42,0,76,-8,0,0,0,0,12,0,1580,31
178,42,0,44,-11,0,0,0,0,-3,0,0,-1
179,42,0,114,18,1,0,3,0,33,6,0,4
180,42,0,69,69,0,0,0,0,6,0,0,31
181,42,0,85,0,0,0,0,0,25,0,0,-3
182,42,0,0,-17,0,0,0,0,-1,0,0,25
183,42,0,131,-2,0,0,0,0,2,0,489,31
184,41,0,60,29,0,0,0,0,4,0,-285,10
185,42,0,189,2,2,2,3,3,32,2,-145,0
186,42,0,178,-1,1,0,3,0,21,-1,104,0
187,42,0,105,5,0,0,0,0,-9,0,0,0
188,42,0,148,-14,1,0,2,-1,28,2,723,0
189,42,0,0,0,0,0,0,0,0,0,1,31
190,41,0,104,-10,0,0,0,0,6,0,2,0
191,42,0,44,-25,0,0,0,0,-2,0,0,-95
192,42,0,118,79,0,0,0,0,11,0,0,18
193,42,0,16,10,2,2,3,3,19,0,0,-92
194,42,0,183,31,5,3,3,0,82,-4,124,0
195,42,0,120,-10,0,0,0,0,5,0,-166,0
196,40,0,107,-7,1,1,3,3,-33,-4,-22,-3
197,40,0,165,30,2,2,3,3,52,0,-28,1
198,41,0,130,18,0,0,0,0,13,-2,-380,0
199,40,1,130,0,1,1,3,3,-7,0,-87,4
200,41,0,145,18,4,3,3,0,15,0,33,-3
201,40,0,115,10,0,0,0,0,16,1,5,-3
202,39,0,15,-4,0,0,0,0,0,0,-14,31
203,36,1,105,-1,0,0,0,0,26,0,-61,-1
204,40,0,73,50,0,0,0,0,10,0,1300,31
205,13,0,121,-15,0,0,0,0,1,-1,266,0
206,13,0,3,0,2,1,3,3,19,0,0,-16
207,7,0,141,22,2,1,3,0,70,0,72,-3
208,14,0,165,67,2,1,3,0,97,15,-1,-9
209,14,0,36,-44,0,-1,0,-3,6,0,150,2
210,12,1,143,37,0,0,0,0,50,3,18,28
211,14,0,0,0,0,0,0,0,0,0,0,30
212,14,0,124,-6,0,0,0,0,-7,0,28,7
213,14,0,150,50,0,0,0,0,-13,2,76,0
214,14,0,109,-3,0,0,0,0,2,0,463,9
215,13,0,118,-1,1,1,3,3,41,-2,5,0
216,12,0,215,8,2,1,3,1,17,-4,4914,0
217,14,0,150,-44,0,0,0,0,-1,-4,14868,-16
218,11,0,158,32,0,0,0,0,33,0,-41,0
219,11,0,87,20,0,0,0,0,27,0,-76,0
220,14,0,173,9,1,-1,3,0,27,0,-785,0
221,12,0,119,-16,0,0,0,0,45,2,-301,0
222,13,0,167,10,0,0,0,0,10,0,29,-3
223,14,0,115,16,0,0,0,0,-8,0,-11,7
224,13,0,165,77,0,-1,0,-3,42,0,-117,-4
225,14,0,59,-11,0,0,0,0,72,0,-11,-2
226,13,1,0,0,0,0,0,0,0,0,-1,31
227,14,0,5,-21,0,0,0,0,-1,0,-711,15
228,14,0,162,53,0,0,0,0,-23,-2,4,-18
229,14,0,174,-3,0,-3,0,-3,30,-2,26,0
230,14,0,192,8,1,0,3,-1,84,-1,-5,0
231,14,0,162,5,2,-2,3,0,-1,0,224,4
232,14,0,172,-3,1,-2,3,0,39,0,-229,0
233,14,0,167,-7,1,1,3,3,39,-7,-436,0
234,8,0,129,-9,0,-1,0,-3,61,0,182,-2
235,14,0,78,-6,0,0,0,0,9,0,9,0
236,14,0,53,27,0,0,0,0,0,0,-13,7
237,14,0,75,9,0,0,0,0,13,0,-8,29
238,14,1,26,-1,0,0,0,0,4,0,-10,-3
239,13,0,0,-22,0,0,0,0,0,0,-4,30
240,13,0,120,-44,0,0,0,0,49,-1,-99,0
241,12,0,178,-33,5,-1,3,0,1,-2,-114,-1
242,13,0,188,1,0,-1,0,-3,8,-1,-41,-8
243,1,0,0,0,0,0,0,0,0,0,0,0
244,14,0,133,0,2,2,3,3,39,0,-45,3
245,13,0,35,-81,0,0,0,0,-12,-2,8,7
246,12,0,113,-2,0,-1,0,-3,3,1,-11,-1
247,13,0,171,-21,0,0,0,0,54,-3,1091,-1
248,10,0,71,0,1,0,3,0,6,0,10,-1
249,14,0,165,30,0,-1,0,-3,41,2,-54,-2
250,14,0,93,-27,0,-2,0,-3,-37,0,333,0
251,14,0,138,7,1,1,3,3,39,3,-31,3
252,13,0,151,-1,0,0,0,0,4,-1,-2,-14
253,1,0,0,0,0,0,0,0,0,0,0,0
254,14,0,144,28,2,-3,3,0,7,3,-509,6
255,11,0,59,0,0,0,0,0,-2,0,-84,-3
256,12,1,0,0,0,0,0,0,0,0,0,31
257,14,0,131,-9,0,0,0,0,-9,1,40,-1
258,14,0,134,-1,0,0,0,0,3,0,-19,0
259,13,0,106,8,3,1,3,0,-20,1,-29,0
260,12,0,130,-13,1,-3,3,0,20,1,278,-2
261,13,0,88,9,0,0,0,0,11,0,28,-2
262,13,0,187,47,4,2,3,0,28,1,44,0
263,13,0,176,14,0,0,0,0,15,4,-102,0
264,14,0,86,8,0,0,0,0,8,4,0,-4
265,12,1,70,35,0,0,0,0,0,0,-26,30
266,13,1,147,1,2,2,3,3,24,0,-214,-1
267,14,0,89,56,0,0,0,0,6,1,30,30
268,14,0,137,28,0,0,0,0,49,-2,-34,0
269,13,0,39,-41,2,2,3,3,66,-1,-10,-109
270,12,0,6,-36,0,0,0,0,-3,0,0,5
271,14,0,0,0,0,0,0,0,4,0,0,31
272,14,0,138,15,1,1,3,3,34,6,-835,9
273,14,0,128,-3,0,-1,0,-3,-39,0,105,0
274,10,0,177,19,0,-1,0,-3,18,0,43,0
275,14,0,140,0,0,0,0,0,-50,0,-104,0
276,5,0,112,3,0,-2,0,-3,36,-2,1490,0
277,13,0,0,0,0,0,0,0,0,0,2,31
278,12,0,0,0,0,0,0,0,0,0,-8,31
279,14,0,68,-10,6,6,3,3,48,0,-681,3
280,14,0,130,0,0,0,0,0,4,0,-1603,3
281,14,0,145,-11,3,-7,3,0,-25,-1,-244,-1
282,12,1,77,-5,2,1,3,0,-1,-5,1,5
283,14,0,116,-8,0,0,0,0,1,2,20,-8
284,18,1,155,-13,0,0,0,0,-76,-3,63,0
285,14,0,136,105,3,2,3,0,342,0,0,-1
286,13,0,18,-1,0,0,0,0,0,0,-2,30
287,13,0,35,-20,1,1,3,3,69,0,16,-1
288,13,0,41,-29,4,3,3,0,12,-1,5,-2
289,13,0,165,0,0,0,0,0,6,-1,5322,0
290,12,0,180,12,3,-5,3,0,-34,-2,57,0
291,14,0,61,-49,0,0,0,0,-15,-5,21,-4
292,13,0,143,-4,0,0,0,0,-1,0,-55,20
293,13,1,78,2,0,0,0,0,16,2,1,-11
294,14,0,32,-44,2,2,3,3,0,-3,-3,-3
295,14,0,85,-17,4,-5,3,0,83,0,3,0
296,11,0,231,0,1,-2,3,0,48,-1,-321,0
297,14,0,148,19,0,0,0,0,4,0,-27,20
298,14,1,14,-101,0,0,0,0,-4,-1,-16,9
299,12,1,0,-8,0,-1,0,-3,-3,0,8,-7
300,13,0,40,12,0,0,0,0,20,0,-1,17
301,8,0,16,-2,0,0,0,0,4,0,5,-32
302,13,0,94,-35,0,-1,0,-3,-13,0,139,3
303,10,0,34,10,0,0,0,0,0,0,-128,31
304,12,0,0,-35,0,0,0,0,-12,0,1384,7
305,13,0,69,6,0,0,0,0,2,0,16,31
306,19,0,61,61,0,-1,0,-3,24,0,0,-7
307,14,0,143,-2,0,-1,0,-3,9,1,2260,0
308,11,0,101,-50,0,0,0,0,-46,-2,154,-5
309,12,0,142,-25,1,-2,3,0,-25,-4,-2,-2
310,14,0,120,0,0,0,0,0,-2,0,-66,-2
311,13,0,61,1,0,0,0,0,2,0,-44,30
312,14,0,61,26,0,0,0,0,0,0,-10,31
313,13,0,118,-12,0,-1,0,-3,-41,0,-1,2
314,6,0,20,-1,0,0,0,0,-2,0,15,4
315,13,0,76,-4,0,0,0,0,5,-1,1,0
316,12,1,0,0,0,0,0,0,0,0,0,31
317,14,0,0,-42,0,0,0,0,-14,0,14,-1
318,12,1,0,-16,0,0,0,0,-4,0,12,-2
319,13,0,42,-17,0,0,0,0,6,0,-15,9
320,14,0,105,-57,0,0,0,0,-41,-4,37,-1
321,14,0,99,-10,0,0,0,0,3,0,-974,9
322,12,0,122,-2,0,0,0,0,-16,-1,18,-4
323,12,1,105,-36,0,-1,0,-3,1,-1,66,-6
324,14,0,156,-4,0,0,0,0,28,-2,-169,0
325,9,0,75,-1,0,0,0,0,67,0,22,12
326,5,0,118,6,0,-1,0,-3,-29,5,191,-5
327,14,0,56,-4,0,0,0,0,-2,0,-786,4
328,14,0,177,-6,2,1,3,0,1,-14,-8839,0
329,13,0,185,-37,2,2,3,3,8,-2,12,0
330,9,0,83,9,2,1,3,0,18,0,-200,2
331,12,0,78,11,0,0,0,0,14,0,-420,4
332,13,0,173,44,0,0,0,0,19,1,-31,-7
333,12,0,58,-1,0,0,0,0,2,0,33,31
334,12,1,0,-64,0,0,0,0,-7,-3,-19,19
335,9,0,87,-21,0,-1,0,-3,15,2,48,-12
336,13,0,127,-11,1,0,3,0,4,0,-7323,1
337,12,0,186,2,1,0,3,0,85,0,34,-1
338,13,1,54,19,0,0,0,0,0,-1,426,31
339,14,0,129,-13,0,0,0,0,-11,-2,165,-2
340,13,0,73,-10,0,0,0,0,-3,0,156,-9
341,13,0,82,-38,0,0,0,0,0,-1,10,6
342,14,0,65,40,1,1,3,3,10,0,-313,3
343,14,0,58,-52,0,-1,0,-3,-32,0,55,1
344,12,1,58,41,0,0,0,0,31,5,8,9
345,14,0,0,0,0,0,0,0,0,0,0,31
346,14,0,143,5,0,0,0,0,23,1,-196,0
347,14,0,25,24,0,0,0,0,2,0,0,31
348,14,0,173,3,3,0,3,0,8,0,754,0
349,14,0,3,0,1,1,3,3,3,0,0,-31
350,13,0,79,-5,0,-2,0,-3,2,0,65,0
351,14,0,78,-33,0,-2,0,-3,-17,-5,-703,10
352,14,0,95,3,0,0,0,0,12,0,76,-2
353,13,0,139,-29,0,0,0,0,-4,1,244,-1
354,12,0,88,0,0,0,0,0,-4,0,-146,2
355,13,0,167,3,1,1,2,2,43,2,-227,0
356,12,1,203,25,7,6,3,0,88,-2,-28322,3
357,11,0,166,10,3,2,3,0,73,1,30,0
358,11,0,158,-15,5,-1,3,0,-34,1,137,0
359,11,0,70,1,0,0,0,0,2,0,-43,5
360,13,0,125,23,0,0,0,0,3,0,-127,6
361,13,0,111,-2,0,-1,0,-3,2,0,0,0
362,12,1,0,0,0,0,0,0,0,0,0,31
363,11,0,166,9,0,0,0,0,-8,-1,-933,3
364,12,0,45,-67,0,0,0,0,-4,-1,1,-5
365,13,1,135,-39,0,0,0,0,-12,-1,39,0
366,10,0,119,-2,0,0,0,0,11,-6,-18,-2
367,12,0,117,5,0,0,0,0,14,-4,-1,5
368,12,1,14,-42,0,0,0,0,3,0,4,-34
369,12,0,96,-48,0,-5,0,-3,-7,0,-12,3
370,12,1,0,0,0,0,0,0,0,0,0,31
371,13,0,136,14,3,2,3,0,69,-1,-107,-1
372,13,0,163,-3,10,8,3,0,174,11,-57,-2
373,2,0,0,0,0,0,0,0,0,0,0,0
374,10,0,177,-15,0,0,0,0,0,0,209,-3
375,3,0,0,0,0,0,0,0,12,0,0,0
376,12,0,135,-13,0,-1,0,-3,-9,-2,-2,12
377,5,0,61,-3,0,0,0,0,-1,-12,12,7
378,10,0,200,-13,3,1,3,0,25,-2,2388,0
379,13,0,155,20,1,1,2,2,200,0,1980,-1
380,12,1,43,-28,0,0,0,0,-2,0,2,-60
381,11,0,75,-1,0,0,0,0,-4,-1,-441,-17
382,13,0,155,19,5,4,3,0,-4,0,695,0
383,10,1,30,-39,0,0,0,0,-2,-1,9,-36
384,13,0,192,-5,0,0,0,0,16,1,-237,0
385,12,0,101,-27,0,-3,0,-3,-44,0,112,-2
386,13,1,61,-12,0,0,0,0,2,0,28,31
387,13,0,189,-22,0,0,0,0,-73,-3,51,0
388,12,0,141,58,0,-2,0,-3,1,-1,-5,0
389,13,0,150,20,0,0,0,0,67,3,-4,-1
390,12,0,158,-16,0,0,0,0,62,-5,13,0
391,13,0,253,11,2,1,3,0,9,-5,-1113,0
392,11,0,124,-11,0,-1,0,-3,22,1,30,-1
393,13,1,128,-18,0,0,0,0,2,-2,-31,6
394,13,0,83,38,0,0,0,0,4,0,-49,31
395,13,0,55,35,0,0,0,0,12,0,0,31
396,10,0,121,-47,2,0,3,0,0,-1,2008,4
397,13,0,103,2,0,0,0,0,20,1,-102,-7
398,13,0,161,51,0,-1,0,-3,-15,1,2,-6
399,19,0,0,0,0,0,0,0,0,0,0,31
400,12,0,180,-1,2,0,3,1,8,-1,493,-1
401,12,1,8,-7,0,0,0,0,0,0,0,31
402,11,0,121,0,2,1,3,0,23,0,93,0
403,12,0,39,-25,0,0,0,0,0,0,-52,31
404,13,0,170,35,1,-1,3,0,30,-2,-519,0
405,8,0,119,8,0,0,0,0,19,0,-1025,-3
406,5,0,0,-43,2,-1,3,0,-27,-1,8,5
407,13,0,122,-28,0,0,0,0,0,-3,60,0
408,12,0,98,14,0,0,0,0,3,0,-5,0
409,11,0,168,-8,0,-1,0,-3,-11,1,115,-1
410,13,0,252,13,8,2,3,0,36,-1,728,0
411,12,1,5,-31,0,0,0,0,-1,0,-38,4
412,13,0,0,0,0,0,0,0,2,0,-4,31
413,13,0,221,36,0,-3,0,-3,37,1,178,0
414,13,0,0,-21,0,-1,0,-3,-10,0,-6,-5
415,13,0,0,0,0,0,0,0,0,0,-8,31
416,13,0,70,21,0,0,0,0,6,0,-173,30
417,13,0,154,-2,0,0,0,0,25,1,-26,3
418,12,0,61,-1,0,0,0,0,4,0,-29,-11
419,13,0,157,-2,2,2,3,3,80,-1,232,-2
420,13,0,41,10,0,0,0,0,0,0,-22,31
421,13,0,73,19,2,2,3,3,61,0,-67,-9
422,10,0,0,0,0,0,0,0,0,0,0,31
423,13,0,131,-4,0,0,0,0,48,0,-13,3
424,13,0,0,-25,0,0,0,0,-2,0,0,-27
425,13,0,96,-11,0,0,0,0,19,0,-17,0
426,13,0,0,0,0,0,0,0,0,0,0,31
427,13,0,201,-1,10,-1,3,0,56,0,-5933,0
428,13,0,137,-9,0,-2,0,-3,22,2,43,0
429,12,1,42,1,0,0,0,0,0,0,103,31
430,13,0,228,-2,3,-1,4,1,28,-2,-203,-5
431,12,0,133,-5,1,1,3,3,-6,0,923,2
432,12,0,77,10,0,0,0,0,4,0,-87,7
433,13,0,186,-2,3,2,3,0,3,-2,-36,0
434,13,0,67,46,0,0,0,0,8,1,2,-29
435,13,0,81,-36,0,0,0,0,-12,-1,-118,-2
436,13,0,154,-53,2,0,3,0,23,-1,59,0
437,13,0,160,-2,0,0,0,0,-24,-1,-64,-4
438,12,1,9,9,1,1,3,3,2,0,-64,31
439,13,0,0,0,0,0,0,0,0,0,0,31
440,13,0,125,-47,0,0,0,0,0,-7,-347,-2
441,11,0,152,30,2,2,3,3,2,1,6,-1
442,13,0,53,-15,0,0,0,0,2,0,69,15
443,13,0,0,0,0,0,0,0,0,0,2,31
444,12,0,158,-20,1,0,3,0,-36,0,13,1
445,12,0,120,-1,0,0,0,0,1,0,0,8
446,12,0,57,8,0,0,0,0,10,0,-36,31
447,13,0,69,-1,0,0,0,0,5,0,24,-1
448,13,0,113,7,1,1,3,3,6,-1,130,10
449,13,0,142,-2,0,-2,0,-3,30,0,34,0
450,13,0,127,-49,4,3,3,0,-4,0,47,-25
451,13,0,151,-32,1,-1,3,0,42,-2,-286,0
452,13,1,20,-1,0,0,0,0,0,0,44,31
453,11,0,172,2,0,-9,0,-3,-31,2,134,-1
454,12,1,70,-8,0,0,0,0,-22,2,-25,-2
455,12,0,76,14,1,-1,3,0,-7,0,-12,-7
456,12,1,26,-23,0,0,0,0,-2,0,-3,-17
457,9,1,85,0,0,0,0,0,2,0,-12,1
458,12,0,74,34,0,0,0,0,24,0,76,2
459,13,0,90,11,0,0,0,0,5,0,37,23
460,12,1,67,21,0,0,0,0,-6,0,-81,2
461,13,0,115,-3,0,0,0,0,-4,0,52,-3
462,12,0,102,-38,1,0,3,0,-11,-1,-46,3
463,12,0,87,13,0,-1,0,-2,-17,0,43,-4
464,12,0,212,-14,4,-1,3,0,77,0,-27,-2
465,7,0,237,34,4,-1,3,0,56,2,233,0
466,4,0,79,79,1,1,3,3,41,2,0,0
467,10,0,129,22,0,0,0,0,97,0,172,-2
468,12,0,85,47,1,1,3,3,29,1,-42,28
469,13,0,158,-13,0,0,0,0,-20,-7,130,0
470,12,0,149,16,2,0,3,0,-15,1,-1583,0
471,13,1,110,-15,3,3,3,3,10,-1,-15,0
472,12,1,205,0,0,-1,0,-2,46,1,-412,-1
473,12,0,148,-2,0,0,0,0,12,0,-229,0
474,12,0,0,0,0,0,0,0,0,0,367,31
475,13,0,43,-25,0,0,0,0,-1,0,-1,24
476,11,0,220,25,0,0,0,0,32,-3,180,0
477,12,0,158,40,1,1,3,3,28,1,-167,-1
478,11,0,105,-11,0,-1,0,-3,-17,0,72,-2
479,11,0,48,-21,0,-1,0,-3,10,-1,-30,15
480,11,0,184,31,2,0,3,1,-13,1,-152,3
481,12,0,159,17,0,0,0,0,-14,-2,-1035,0
482,12,0,163,26,7,3,3,0,43,3,-168,-1
483,11,0,125,1,0,0,0,0,62,3,-851,0
484,7,0,137,28,2,2,3,3,31,0,12,-1
485,13,0,217,-6,1,-1,4,1,2,2,6593,0
486,13,0,98,7,0,0,0,0,16,0,8,-8
487,12,0,0,0,0,0,0,0,0,0,0,31
488,12,0,206,16,1,1,3,3,41,0,-388,0
489,11,0,68,0,0,0,0,0,8,0,-58,-11
490,13,0,164,9,0,0,0,0,-30,-3,102,0
